Broad_ID,CCLE_Name,Aliases,COSMIC_ID,Sanger ID,Primary Disease,Subtype Disease,Gender,Source
ACH-000117,EFM192A_BREAST,EFM192A_BREAST,1290798,1187,Breast Cancer,,Female,NIBRI
ACH-000308,EFO21_OVARY,EFO-21,911905,303,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-000936,EFO27_OVARY,EFO-27,906852,1497,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-001494,EGI1_BILIARY_TRACT,EGI-1,906853,1315,Bile Duct Cancer,extrahepatic_cholangiocarcinoma,Male,
ACH-000038,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB,906854,39,B-cell_lymphoma_other/Leukemia,lymphoid_neoplasm,Female,DSMZ
ACH-000821,EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EJM,1297447,567,Multiple Myeloma,lymphoid_neoplasm,Female,DSMZ
ACH-000706,EKVX_LUNG,EKVX,905970,322,Lung NSCLC,carcinoma,,Garraway Lab
ACH-000295,EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EM2,906855,901,Leukemia,haematopoietic_neoplasm,Female,DSMZ
ACH-000978,EN_ENDOMETRIUM,EN,1240127,1919,Endometrial Cancer,carcinoma,Female,DSMZ
ACH-000585,EPLC272H_LUNG,EPLC-272H,753556,404,Lung NSCLC,carcinoma,Male,DSMZ
ACH-000906,ES2_OVARY,ES-2,1240128,869,Ovarian Cancer,carcinoma,Female,ATCC
ACH-001496,ESO26_OESOPHAGUS,ESO26,1503366,1680,Esophageal Cancer,adenocarcinoma,Male,
ACH-001497,ESO51_OESOPHAGUS,ESO51,1503367,668,Esophageal Cancer,adenocarcinoma,,
ACH-000913,ESS1_ENDOMETRIUM,ESS-1,907000,293,Endometrial Cancer,carcinoma,Female,
ACH-001065,EVSAT_BREAST,,906862,1863,Breast Cancer,,Female,
ACH-000499,EW8_BONE,EW8,,,Bone Cancer,NS,,
ACH-001038,COGE352_BONE,COG-E-352,,,Ewing\'s Sarcoma,,,
ACH-000279,EWS502_BONE,EWS502,,,Bone Cancer,NS,,
ACH-001067,F5_CENTRAL_NERVOUS_SYSTEM,F5,,,Meningioma,meningioma,Male,
ACH-000846,FADU_UPPER_AERODIGESTIVE_TRACT,FADU,906863,1170,Head and Neck Cancer,carcinoma,Male,NIBRI
ACH-001498,FARAGE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Farage,1297449,1772,Lymphoma,Non-Hodgkin's B Cell Lymphoma/B-ALL,Female,
ACH-001068,FEPD_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,FEPD,,,Lymphoma,lymphoid_neoplasm,,
ACH-001500,FLO1_OESOPHAGUS,FLO-1,1503361,1019,Esophageal Cancer,esophageal_adenocarcinoma,,
ACH-000903,FTC133_THYROID,FTC133,906864,1007,Thyroid Cancer,carcinoma,Male,ECACC
ACH-000897,FTC238_THYROID,FTC238,,,Thyroid Cancer,carcinoma,Male,ECACC
ACH-000633,FU97_STOMACH,FU97,1290806,2062,Gastric Cancer,adenocarcinoma,Female,HSRRB
ACH-001272,FUJI_SOFT_TISSUE,Fuji,,,Soft Tissue Cancer,synovial_sarcoma,-1,
ACH-000574,FUOV1_OVARY,FU-OV-1,1240129,2063,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-000041,RDES_BONE,,,,Ewings Sarcoma,,Male,NIBRI
ACH-000572,G361_SKIN,G-361,906865,1173,Skin Cancer,malignant_melanoma,Male,ATCC
ACH-000096,G401_SOFT_TISSUE,G-401,907299,962,Other Solid Carcinomas,rhabdoid_tumour,Male,NIBRI
ACH-000087,SKES1_BONE,,684072,41,Ewings Sarcoma,,Male,NIBRI
ACH-000375,G402_SOFT_TISSUE,G-402,907298,1089,Rhabdoid Tumor,rhabdoid_tumour,Female,
ACH-001192,SKNEP1_BONE,,,,Bone Cancer,,,
ACH-000162,GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GA-10,1303896,1008,Lymphoma,,Male,ATCC
ACH-000098,GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG,906868,1174,Glioma/Brain Cancer,glioma,Female,DSMZ
ACH-000738,GB1_CENTRAL_NERVOUS_SYSTEM,GB-1,687568,2095,Brain Cancer,glioma,Male,HSSRB
ACH-000047,GCIY_STOMACH,GCIY,906869,1414,Gastric Cancer,adenocarcinoma,Female,GNF
ACH-000835,GCT_SOFT_TISSUE,GCT,906999,963,Soft Tissue/Bone Cancer,malignant_fibrous_histiocytoma-pleomorphic_sarcoma,Male,NIBRI
ACH-000081,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM1,906870,164,Leukemia,,Female,NIBRI
ACH-000756,GI1_CENTRAL_NERVOUS_SYSTEM,GI1_CENTRAL_NERVOUS_SYSTEM,906871,245,Brain Cancer,glioma,Male,RIKEN
ACH-001344,GIMEN_AUTONOMIC_GANGLIA,GI-ME-N,906872,1530,Neuroblastoma,,Male,
ACH-001071,GLC82_LUNG,GLC-82,,,Lung NSCLC,carcinoma,Female,ICLC
ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,GMS-10,906873,294,GBM/Brain Cancer,glioma,Male,DSMZ
ACH-000027,GOS3_CENTRAL_NERVOUS_SYSTEM,GOS3,,,Glioma/Brain Cancer,glioma,Male,GNF
ACH-001716,GOTO_AUTONOMIC_GANGLIA,GOTO,906875,1009,Neuroblastoma,,,
ACH-000982,GP2D_LARGE_INTESTINE,GP2d,,,Colon Cancer,adenocarcinoma,Female,ECACC
ACH-001345,GP5D_LARGE_INTESTINE,GP5d,907291,741,Colon Cancer,adenocarcinoma,Female,
ACH-000073,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA519,1303897,1776,B-cell_lymphoma_other/Lymphoma,lymphoid_neoplasm,Female,DSMZ
ACH-001072,GRM_SKIN,,,,Skin Cancer,malignant_melanoma,Male,
ACH-000746,GSS_STOMACH,GSS,,,Gastric Cancer,adenocarcinoma,,RIKEN
ACH-000485,GSU_STOMACH,GSU,,,Gastric Cancer,adenocarcinoma,,RIKEN
ACH-001346,H103_BUCCAL,H103,,,Head and Neck,squamous_cell_carcinoma,Male,
ACH-000389,H4_CENTRAL_NERVOUS_SYSTEM,H4_CENTRAL_NERVOUS_SYSTEM,907042,1244,Brain Cancer,glioma,Male,NIBRI
ACH-001310,HA1E_KIDNEY,,,,Kidney Cancer,,,
ACH-000843,HARA_LUNG,HARA,1240142,350,Lung NSCLC,carcinoma,Male,HSRRB
ACH-000039,SKNMC_BONE,SK-N-MC,,,Ewings Sarcoma,,Female,ATCC
ACH-001514,HCC1008_BREAST,HCC1008,,,Breast Cancer,,Female,
ACH-000374,HCC1143_BREAST,HCC1143,749710,1316,Breast Cancer,Basal,Female,ATCC
ACH-000578,HCC1171_LUNG,HCC-1171,,,Lung NSCLC,carcinoma,Male,KCLB
ACH-000111,HCC1187_BREAST,HCC1187,749711,1644,Breast Cancer,Basal,Female,ATCC
ACH-000868,HCC1195_LUNG,HCC1195,,,Lung NSCLC,carcinoma,Male,KCLB
ACH-000901,HCC1359_LUNG,HCC1359,,,Lung NSCLC,carcinoma,Female,KCLB
ACH-000699,HCC1395_BREAST,HCC1395,749712,94,Breast Cancer,Basal,Female,ATCC
ACH-000277,HCC1419_BREAST,HCC1419,907045,1551,Breast Cancer,Luminal,Female,GNF
ACH-000352,HCC1428_BREAST,HCC1428,1290905,1567,Breast Cancer,Luminal,Female,ATCC
ACH-000891,HCC1438_LUNG,HCC1438,,,Lung NSCLC,carcinoma,Male,KCLB
ACH-000878,HCC15_LUNG,HCC15,1240143,1368,Lung NSCLC,carcinoma,Male,DSMZ
ACH-000349,HCC1500_BREAST,HCC1500,1303900,653,Breast Cancer,Luminal/Basal,Female,ATCC
ACH-000930,HCC1569_BREAST,HCC1569,907046,2127,Breast Cancer,Basal,Female,
ACH-001078,HCC1588_LUNG,HCC1588,,,Lung NSCLC,carcinoma,Female,KCLB
ACH-000196,HCC1599_BREAST,HCC1599,749713,1264,Breast Cancer,Basal,Female,ATCC
ACH-000624,HCC1806_BREAST,HCC1806,907047,1317,Breast Cancer,Basal,Female,NIBRI
ACH-000712,HCC1833_LUNG,HCC1833,,,Lung NSCLC,carcinoma,Female,KCLB
ACH-001079,HCC1897_LUNG,HCC1897,,,Lung NSCLC,carcinoma,,
ACH-000223,HCC1937_BREAST,HCC1937,749714,936,Breast Cancer,Basal,Female,ATCC
ACH-000859,HCC1954_BREAST,HCC1954,749709,2143,Breast Cancer,Basal,Female,
ACH-000725,HCC202_BREAST,HCC202,1290906,1552,Breast Cancer,Luminal,Female,ATCC
ACH-000314,HCC2108_LUNG,HCC2108,,,Lung NSCLC,adenocarcinoma,Male,KCLB
ACH-000691,HCC2157_BREAST,HCC2157,749715,351,Breast Cancer,Basal,Female,NIBRI
ACH-000755,HCC2218_BREAST,HCC2218,749716,352,Breast Cancer,Luminal,Female,ATCC
ACH-000731,HCC2279_LUNG,HCC2279,,,Lung NSCLC,carcinoma,Female,KCLB
ACH-000143,HCC2429_LUNG,HCC2429,,,Lung NSCLC,,,
ACH-000975,HCC2450_LUNG,HCC2450,,,Lung NSCLC,,,
ACH-000690,HCC2814_LUNG,HCC2814,,,Lung NSCLC,carcinoma,,
ACH-000150,HCC2935_LUNG,HCC2935,,,Lung NSCLC,carcinoma,Male,ATCC
ACH-001081,HCC2998_LARGE_INTESTINE,HCC2998,905971,43,Colon Cancer,,,
ACH-000515,HCC33_LUNG,HCC-33,1303901,353,Lung SCLC,carcinoma,Male,DSMZ
ACH-000575,HCC364_LUNG,HCC364,,,Lung NSCLC,carcinoma,,
ACH-000840,HCC366_LUNG,HCC366,1240144,638,Lung NSCLC,carcinoma,Female,DSMZ
ACH-000276,HCC38_BREAST,HCC38,749717,1318,Breast Cancer,Basal,Female,ATCC
ACH-000066,HCC4006_LUNG,HCC4006,,,Lung NSCLC,carcinoma,Male,ATCC
ACH-000667,HCC44_LUNG,HCC44,1240145,1247,Lung NSCLC,adenocarcinoma,Female,DSMZ
ACH-000339,HCC461_LUNG,HCC461,,,Lung NSCLC,,,
ACH-000872,HCC515_LUNG,HCC515,,,Lung NSCLC,,,
ACH-000467,HCC56_LARGE_INTESTINE,HCC56,1290907,1036,Colon Cancer,adenocarcinoma,,NIBRI
ACH-000668,HCC70_BREAST,HCC70,907048,937,Breast Cancer,Basal,Female,NIBRI
ACH-000562,HCC78_LUNG,HCC78,1290908,639,Lung NSCLC,carcinoma,Male,DSMZ
ACH-000012,HCC827_LUNG,HCC827,1240146,354,Lung NSCLC,adenocarcinoma,Female,ATCC
ACH-000029,HCC827GR5_LUNG,HCC827 GR5,,,Lung NSCLC,carcinoma,,
ACH-000454,HCC95_LUNG,HCC95,,,Lung NSCLC,carcinoma,Male,KCLB
ACH-000971,HCT116_LARGE_INTESTINE,HCT116,905936,1920,Colon Cancer,adenocarcinoma,Male,NIBRI
ACH-000997,HCT15_LARGE_INTESTINE,HCT-15,905937,1553,Colon Cancer,adenocarcinoma,Male,NIBRI
ACH-000267,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDLM2,924110,1510,Lymphoma,lymphoid_neoplasm,Male,DSMZ
ACH-000190,HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HDMYZ,907050,883,Lymphoma,lymphoid_neoplasm,,
ACH-000643,HDQP1_BREAST,HDQP1_BREAST,1290922,743,Breast Cancer,Basal,Female,DSMZ
ACH-001517,HEC1_ENDOMETRIUM,HEC-1,907051,474,Endometrial Cancer,endometrial adenocarcinoma,Female,
ACH-000990,HEC108_ENDOMETRIUM,HEC-108,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000972,HEC151_ENDOMETRIUM,HEC151,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000954,HEC1A_ENDOMETRIUM,HEC-1-A,,,Endometrial Cancer,carcinoma,Female,NIBRI
ACH-000941,HEC1B_ENDOMETRIUM,HEC1B,,,Endometrial Cancer,carcinoma,Female,NIBRI
ACH-000996,HEC251_ENDOMETRIUM,HEC-251,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000946,HEC265_ENDOMETRIUM,HEC265,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000831,HEC50B_ENDOMETRIUM,HEC-50B,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000994,HEC59_ENDOMETRIUM,HEC-59,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000984,HEC6_ENDOMETRIUM,HEC6,,,Endometrial Cancer,carcinoma,Female,HSSRB
ACH-000049,HEKTE_KIDNEY,HEK TE,,,Kidney Cancer,immortalized_epithelial,,
ACH-001193,SKPNDW_BONE,,909731,946,Bone Cancer,,,
ACH-001283,TC106_BONE,TC-106,,,Ewing\'s Sarcoma,,,
ACH-001086,HELA_CERVIX,HeLa,1298134,1799,Cervical Cancer,,,
ACH-001519,HEMCSS_SOFT_TISSUE,H-EMC-SS,907290,1921,Chondrosarcoma,chondrosarcoma,Female,
ACH-000625,HEP3B217_LIVER,Hep 3B2.1-7,1240147,1922,Liver Cancer,hepatocellular_carcinoma,Male,
ACH-000739,HEPG2_LIVER,Hep G2,,,Liver Cancer,hepatocellular_carcinoma,Male,NIBRI/ATCC
ACH-000542,HEYA8_OVARY,Hey-A8,,,Ovarian Cancer,carcinoma,Female,NIBRI
ACH-000847,HGC27_STOMACH,HGC27,907055,1102,Gastric Cancer,,,GNF
ACH-000061,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,907056,310,T-cell Lymphoma,lymphoid_neoplasm,Male,NIBRI
ACH-001087,HK2_KIDNEY,HK-2 ,,,immortalized_epithelial,immortalized_epithelial,,
ACH-001521,HKA1_SKIN,HKA-1,,,Head and Neck,keratoacanthoma,Female,
ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL-60,905938,55,Leukemia,,Female,ATCC
ACH-001088,HLC1_LUNG,HLC-1,,,Lung NSCLC,carcinoma,,
ACH-001089,HLE_LIVER,HLE,907057,311,Liver Cancer,hepatocellular_carcinoma,Male,
ACH-000393,HLF_LIVER,HLF,,,Liver Cancer,hepatocellular_carcinoma,Male,HSRRB
ACH-000797,HLFA_LUNG,HLFA,,,Lung NSCLC,carcinoma,Female,GNF
ACH-000721,HMC18_BREAST,HMC18,,,Breast Cancer,,Female,HSSRB
ACH-000931,HMCB_SKIN,HMCB,,,Skin Cancer,NS,,
ACH-000642,HMEL_BREAST,HMEL,,,Immortalized,,,
ACH-002040,HMVII_SKIN,HMV-II,,,Skin Cancer,,Female,
ACH-001522,HMY1_SKIN,HMY-1,,,Skin Cancer,malignant_melanoma,Male,
ACH-001090,HN_UPPER_AERODIGESTIVE_TRACT,,907059,1060,Head and Neck Cancer,carcinoma,Male,
ACH-000299,HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HNT-34,,,Leukemia,,,
ACH-002045,HO1U1_UPPER_AERODIGESTIVE_TRACT,HO-1-u-1,,,Upper Head and Neck,,,
ACH-000861,HOP62_LUNG,HOP62,905972,1500,Lung NSCLC,carcinoma,,Garraway Lab
ACH-000825,HOP92_LUNG,HOP-92,905973,888,Lung NSCLC,carcinoma,,Garraway Lab
ACH-000613,HOS_BONE,HOS,907060,1202,Bone Cancer,osteosarcoma,Female,GNF
ACH-000270,HPAC_PANCREAS,HPAC,1298136,744,Pancreatic Cancer,adenocarcinoma,Female,ATCC
ACH-000094,HPAFII_PANCREAS,HPAF-II,724869,889,Pancreatic Cancer,adenocarcinoma,Male,ATCC
ACH-000942,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HPB-ALL,,,Leukemia,lymphoid_neoplasm,Male,DSMZ
ACH-001091,HRT18_LARGE_INTESTINE,,,,Colon Cancer,adenocarcinoma,Male,
ACH-000088,HS172T_URINARY_TRACT,,,,Fibroblast,carcinoma,Male,ATCC
ACH-000131,HS229T_LUNG,Hs 229.T,,,Lung NSCLC,adenocarcinoma,Male,ATCC
ACH-000199,HS255T_LARGE_INTESTINE,,,,Colon Cancer,adenocarcinoma,Female,NIBRI
ACH-000134,HS274T_BREAST,HS274T,,,Breast Cancer,,Female,ATCC
ACH-000083,HS281T_BREAST,,,,Fibroblast,,Female,GNF
ACH-000184,HS343T_BREAST,,,,Breast Cancer,,Female,GNF
ACH-000148,HS578T_BREAST,Hs 578T,905957,655,Breast Cancer,Basal,Female,ATCC
ACH-000240,HS600T_SKIN,Hs 600.T.,,,Skin Cancer,malignant_melanoma,,GNF
ACH-001093,HS604T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Lymphoma,lymphoid_neoplasm,Male,ATCC
ACH-000540,HS606T_BREAST,,,,Breast Cancer,,Female,ATCC
ACH-000069,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS611T,,,Lymphoma_Hodgkin,lymphoid_neoplasm,Female,NIBRI
ACH-000063,HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Lymphoma_Hodgkin,lymphoid_neoplasm,Male,
ACH-000539,HS618T_LUNG,Hs 618.T,,,Lung NSCLC,adenocarcinoma,Female,ATCC
ACH-000214,HS675T_LARGE_INTESTINE,,,,Colon Cancer,adenocarcinoma,Male,NIBRI
ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,Hs 683,1240150,769,GBM/Brain Cancer,glioma,Male,NIBRI
ACH-000306,HS688AT_SKIN,Hs 688 (A).T,,,fibroblast,malignant_melanoma,Male,
ACH-000799,HS695T_SKIN,Hs 695T,,,Skin Cancer,malignant_melanoma,Male,ATCC
ACH-000850,HS698T_LARGE_INTESTINE,,,,Colon Cancer,adenocarcinoma,Male,ATCC
ACH-000071,HS706T_BONE,,,,fibroblast,giant_cell_tumour,Female,GNF
ACH-000133,HS729_SOFT_TISSUE,HS729,,,Fibroblast,,Male,NIBRI
ACH-000185,HS737T_BONE,,,,Bone Cancer,other,Female,ATCC
ACH-000413,HS739T_BREAST,,,,Breast Cancer,,Female,
ACH-000230,HS742T_BREAST,,,,Breast Cancer,,Female,ATCC
ACH-000616,HS746T_STOMACH,HS746T,1240151,1850,Gastric Cancer,adenocarcinoma,Male,NIBRI
ACH-000165,HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HS751T,,,Lymphoma,lymphoid_neoplasm,,GNF
ACH-000178,HS766T_PANCREAS,Hs 766T,1298141,1843,Pancreatic Cancer,adenocarcinoma,Male,NIBRI
ACH-000224,HS819T_BONE,HS819T,,,Bone Cancer,NS,Male,NIBRI
ACH-000526,HS821T_BONE,HS821T,,,Bone Cancer,giant_cell_tumour,Female,GNF
ACH-000229,HS822T_BONE,Hs 822.T,,,Bone Cancer,NS,Female,NIBRI
ACH-000275,HS834T_SKIN,,,,Skin Cancer,malignant_melanoma,,
ACH-000180,HS839T_SKIN,,,,Skin Cancer,malignant_melanoma,Female,ATCC
ACH-000284,HS840T_UPPER_AERODIGESTIVE_TRACT,HS840T,,,Head and Neck Cancer,other,Male,GNF
ACH-000274,HS852T_SKIN,HS852T,,,Skin Cancer,malignant_melanoma,,
ACH-000119,HS863T_BONE,,,,Fibroblast,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Female,ATCC
ACH-000340,HS870T_BONE,,,,Bone Cancer,osteosarcoma,,GNF
ACH-000154,HS888T_BONE,HS888T,,,Bone Cancer,NS,Male,GNF
ACH-000043,HS895T_SKIN,Hs 895.T,,,Fibroblast,malignant_melanoma,Female,NIBRI
ACH-000194,HS934T_SKIN,Hs 934.T,,,Skin Cancer,malignant_melanoma,Female,ATCC
ACH-000801,HS936T_SKIN,HS936T,,,Skin Cancer,malignant_melanoma,Male,GNF
ACH-000814,HS939T_SKIN,HS939T,1298144,1261,Skin Cancer,malignant_melanoma,Female,
ACH-000135,HS940T_SKIN,Hs 940.T,1298145,707,Skin Cancer,malignant_melanoma,Male,GNF
ACH-000632,HS944T_SKIN,Hs 944.T,,,Skin Cancer,malignant_melanoma,Male,NIBRI
ACH-001430,TC138_BONE,,,,Ewing\'s Sarcoma,,-1,
ACH-001523,HSC1_SKIN,HSC-1,,,Skin Cancer,squamous_cell_carcinoma,Male,
ACH-000472,HSC2_UPPER_AERODIGESTIVE_TRACT,HSC-2,753562,944,Head and Neck Cancer,carcinoma,Male,HSSRB
ACH-000778,HSC3_UPPER_AERODIGESTIVE_TRACT,HSC-3,907061,648,Head and Neck Cancer,carcinoma,Male,HSSRB
ACH-000546,HSC4_UPPER_AERODIGESTIVE_TRACT,HSC-4,907062,99,Head and Neck Cancer,carcinoma,Male,HSSRB
ACH-001524,HSC5_SKIN,HSC-5,,,Skin Cancer,squamous_cell_carcinoma,Male,
ACH-002085,HSSYII_LUNG,HS-SY-II,,,Soft Tissue,,,
ACH-000914,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HT,907063,745,Lymphoma,lymphoid_neoplasm,Male,NIBRI
ACH-000054,HT1080_SOFT_TISSUE,HT-1080,907064,1391,Soft Tissue Sarcoma,fibrosarcoma,Male,ATCC
ACH-000986,HT115_LARGE_INTESTINE,,907289,2099,Colon Cancer,adenocarcinoma,,ECACC
ACH-000547,HT1197_URINARY_TRACT,HT-1197,907065,1533,Bladder Cancer,carcinoma,Male,NIBRI
ACH-000724,HT1376_URINARY_TRACT,HT1376_URINARY_TRACT,907066,1211,Bladder Cancer,carcinoma,Female,
ACH-000322,HT144_SKIN,HT-144,907067,1193,Skin Cancer,malignant_melanoma,Male,
ACH-000552,HT29_LARGE_INTESTINE,HT-29,905939,1212,Colon Cancer,adenocarcinoma,Female,NIBRI
ACH-001525,HT3_CERVIX,HT-3,907068,1393,Cervical Cancer,,Female,
ACH-000926,HT55_LARGE_INTESTINE,HT55,907287,1688,Colon Cancer,adenocarcinoma,,ECACC
ACH-001350,HTCC3_THYROID,HTC-C3,924151,329,Thyroid Cancer,,Female,
ACH-001094,HTK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Multiple Myeloma,lymphoid_neoplasm,,
ACH-000976,HUCCT1_BILIARY_TRACT,HUCCT1,907069,1213,Bile Duct/Liver Cancer,intrahepatic_cholangiocarcinoma,Male,HSSRB
ACH-000239,HUG1N_STOMACH,Hu-G1N,,,Gastric Cancer,adenocarcinoma,Male,GNF
ACH-000475,HUH1_LIVER,huH-1,1298146,1855,Liver Cancer,hepatocellular_carcinoma,Male,HSRRB
ACH-000808,HUH28_BILIARY_TRACT,HUH28,,,Bile Duct/Liver Cancer,intrahepatic_cholangiocarcinoma,,HSSRB
ACH-001431,TC205_BONE,,,,Ewing\'s Sarcoma,,-1,
ACH-000480,HUH7_LIVER,HuH-7,907071,2195,Liver Cancer,hepatocellular_carcinoma,Male,HSSRB
ACH-000829,HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HUNS1,,,Multiple Myeloma,lymphoid_neoplasm,Male,NIBRI
ACH-001526,HUO9_BONE,HuO9,907072,330,Bone Cancer,osteosarcoma,Female,
ACH-000118,HUPT3_PANCREAS,HUP-T3,907285,109,Pancreatic Cancer,adenocarcinoma,Male,DSMZ
ACH-000213,HUPT4_PANCREAS,,907286,618,Pancreatic Cancer,adenocarcinoma,Male,DSMZ
ACH-000612,HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HUT102,,,Lymphoma,lymphoid_neoplasm,Male,ATCC
ACH-000509,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,Lymphoma,lymphoid_neoplasm,Male,NIBRI
ACH-000538,HUTU80_SMALL_INTESTINE,HuTu80,907073,305,Colon Cancer,duodenal_adenocarcinoma,Male,NIBRI
ACH-000672,IALM_LUNG,IA-LM,910779,1792,Lung NSCLC,carcinoma,Male,RIKEN
ACH-000882,IGR1_SKIN,IGR-1,907169,1534,Skin Cancer,malignant_melanoma,Male,
ACH-000650,IGR37_SKIN,IGR-37,1240153,1535,Skin Cancer,malignant_melanoma,Male,NIBRI
ACH-000550,IGR39_SKIN,IGR-39,,,Skin Cancer,malignant_melanoma,Male,DSMZ
ACH-000966,IGROV1_OVARY,IGROV1,905968,1215,Ovarian Cancer,carcinoma,Female,NCI/DCTD
ACH-001528,IHH4_THYROID,IHH-4,1240154,331,Thyroid Cancer,,Male,
ACH-000919,IM95_STOMACH,IM95,1240155,405,Gastric Cancer,adenocarcinoma,Male,HSRRB
ACH-001205,TC32_BONE,,,,Bone Cancer,,Female,
ACH-000512,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA-6,,,Multiple Myeloma,,,
ACH-000629,IOMMLEE_CENTRAL_NERVOUS_SYSTEM,IOMM-LEE,,,Meningioma,meningioma,,
ACH-000915,IPC298_SKIN,IPC298,907171,77,Skin Cancer,malignant_melanoma,Female,DSMZ
ACH-000961,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,,,Endometrial Cancer,carcinoma,Female,
ACH-000569,ISTMES1_PLEURA,ISTMES1,907173,1001,Mesothelioma/Lung Cancer,mesothelioma,Female,GNF
ACH-000331,ISTMES2_PLEURA,ISTMES2,,,Mesothelioma/Lung Cancer,mesothelioma,Male,GNF
ACH-000396,J82_URINARY_TRACT,J82,753566,1232,Bladder Cancer,carcinoma,Male,ATCC
ACH-001529,JAR_PLACENTA,JAR,907175,633,Choriocarcinoma,choriocarcinoma,Male,
ACH-001530,JEG3_PLACENTA,JEG-3,907176,1195,Choriocarcinoma,,,
ACH-000357,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JEKO1,1327765,2118,Lymphoma,lymphoid_neoplasm,Female,
ACH-001955,JHC7_BONE,Jhc-7,,,Bone Cancer,chordoma,,
ACH-000216,JHESOAD1_OESOPHAGUS,JH-ESOAD1; JHESOAd1,,,Esophageal Cancer,adenocarcinoma,Male,
ACH-000620,JHH1_LIVER,JHH1,1298151,89,Liver Cancer,hepatocellular_carcinoma,Male,HSRRB
ACH-000577,JHH2_LIVER,JHH2,1240157,347,Liver Cancer,hepatocellular_carcinoma,Male,HSRRB
ACH-000476,JHH4_LIVER,JHH4,1240158,931,Liver Cancer,hepatocellular_carcinoma,Male,HSRRB
ACH-000734,JHH5_LIVER,JHH-5,,,Liver Cancer,hepatocellular_carcinoma,Male,HSSRB
ACH-000217,JHH6_LIVER,JHH6,1240159,1824,Liver Cancer,hepatocellular_carcinoma,Female,HSRRB
ACH-000848,JHH7_LIVER,JHH7_LIVER,1240160,1038,Liver Cancer,hepatocellular_carcinoma,Male,NIBRI
ACH-000324,JHOC5_OVARY,JHOC-5,,,Ovarian Cancer,carcinoma,Female,RIKEN
ACH-000237,JHOM1_OVARY,JHOM-1,,,Ovarian Cancer,carcinoma,Female,RIKEN
ACH-000333,JHOM2B_OVARY,JHOM-2B,,,Ovarian Cancer,carcinoma,Female,RIKEN
ACH-000132,JHOS2_OVARY,JHOS-2,1479995,436,Ovarian Cancer,carcinoma,Female,RIKEN
ACH-000584,JHOS4_OVARY,JHOS-4,1480359,1651,Ovarian Cancer,carcinoma,Female,RIKEN
ACH-000928,JHUEM1_ENDOMETRIUM,JHUEM1_ENDOMETRIUM,,,Endometrial Cancer,carcinoma,Female,RIKEN
ACH-000909,JHUEM2_ENDOMETRIUM,JHUEM-2,,,Endometrial Cancer,carcinoma,Female,GNF
ACH-000173,JHUEM3_ENDOMETRIUM,JHUEM3,,,Endometrial Cancer,carcinoma,,RIKEN
ACH-000993,JHUEM7_ENDOMETRIUM,JHUEM7,,,Endometrial Cancer,carcinoma,Female,GNF
