V1	V2	V3					
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.729608389252752	20
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.360399278941052	21
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.680371055454455	21
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.753571375606324	21
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.790831620719339	21
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.875080761045841	21
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.652391971482678	21
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.375442402665926	21
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.825501354502084	21
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.309822179026707	21
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.815222244098741	21
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.689371034970582	21
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.829882242143629	21
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.890460215032475	21
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.758498912506133	21
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.356709570789863	22
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.617726535426053	22
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.509119582443495	22
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.683137848720681	22
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.874634072010391	22
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.61379314931658	22
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.347786184333267	22
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.793416001851273	22
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.197700350839089	22
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.820978055248536	22
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.623547190875601	22
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.837787473869079	22
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.91753358721861	22
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.582652111143904	22
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.429492280108979	23
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.62313343125414	23
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.596831587674092	23
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.65022385919062	23
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.863132662805324	23
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.593693162660985	23
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.466983213628092	23
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.831549772649967	23
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.200302999401127	23
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.771346947239532	23
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.785289697396471	23
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.806708203208471	23
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.956907750458395	23
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.817397113818572	23
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.271321215374874	24
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.791779545955943	24
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.736826786143856	24
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.624372807144793	24
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.893976361083363	24
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.641172781478221	24
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.386854029815461	24
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.756911055484917	24
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.237812710094136	24
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.839847157256788	24
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.913214342964909	24
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.816652268955279	24
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.935720271511905	24
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.741416007955141	24
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.36182593207679	25
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.766993924903081	25
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.759403552462539	25
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.704145786874278	25
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.852261958270568	25
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.618718903321984	25
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.57980517202659	25
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.808790237791407	25
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.302098774420973	25
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.831441207486807	25
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.889565066142654	25
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.836625227888877	25
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.95335526636902	25
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.813717813328196	25
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.437555551267886	26
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.789763935811283	26
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.745543347723234	26
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.808273631223942	26
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.920253794788664	26
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.68333776651265	26
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.47411032436112	26
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.823510949033937	26
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.246558259036092	26
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.857566642597972	26
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.801314351284231	26
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.832659650662525	26
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.932474798865899	26
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.73073983267589	26
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.285074693999318	27
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.735061998039372	27
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.825429817347619	27
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.768645391568179	27
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.875519709954147	27
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.666692182931407	27
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.164317675436834	27
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.794786209659594	27
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.262610258646969	27
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.721594553141521	27
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.946241813918309	27
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.818484690840443	27
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.955621473634945	27
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.755488788679397	27
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.405569690691327	28
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.660430673095103	28
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.726328826900018	28
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.755751298602751	28
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.873210261385382	28
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.773297938340311	28
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.519375284952601	28
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.82572294072102	28
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.285011599733808	28
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.81059863308385	28
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.900111147062523	28
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.833388329245528	28
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.879828395326645	28
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.791101926022576	28
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.400394182350996	29
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.75045216798003	29
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.569372035521907	29
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.690523201913665	29
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.862526653469183	29
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.62351057696645	29
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.614038187962415	29
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.788292501026423	29
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.257753031754236	29
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.867101454749239	29
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.918631920844222	29
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.855885055430384	29
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.839309264465049	29
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.768336603131763	29
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.399322020472459	30
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.524999504863637	30
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.788918640237594	30
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.74174520847588	30
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.856466208130481	30
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.586627170280552	30
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.560640332691382	30
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.816032272328511	30
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.221994816401198	30
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.829217937142213	30
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.906677582996809	30
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.830023830901493	30
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.997185911614491	30
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.794255077233562	30
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.383690673748334	31
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.666003527630027	31
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.694049386951731	31
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.685400665108568	31
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.867414283123695	31
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.626063257739455	31
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.302751030792075	31
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.818622647888935	31
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.242638429043644	31
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.803068924399281	31
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.933071518010914	31
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.833334921035126	31
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.988725855047038	31
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.724457840896705	31
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.396242992908792	32
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.742236339793476	32
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.707755798037619	32
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.78597488688577	32
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.814600321923667	32
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.674598451043889	32
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.313252289090804	32
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.816357037238457	32
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.2618812960275	32
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.861342223486179	32
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.692832714097244	32
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.831674675383602	32
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.921551909037566	32
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.807257571505309	32
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.329663304089083	33
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.7011605411407	33
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.674758168729617	33
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.740535268469239	33
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.846328881567438	33
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.619364468682927	33
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.311339666126406	33
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.814074192726113	33
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.209210833610731	33
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.860932444566701	33
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.806658495382813	33
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.843913407025739	33
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.960654179640373	33
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.72117983144912	33
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.364025729009337	34
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.640243694084489	34
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.661463665087037	34
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.769829015307172	34
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.867102171599738	34
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.650627912420872	34
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.463361448230502	34
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.830393829596178	34
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.256173348242966	34
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.861076961889882	34
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.911129899210072	34
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.795406686178754	34
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.942172501236066	34
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.730357214404867	34
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.439278422022467	35
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.668777619701709	35
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.6442899492584	35
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.72143551658318	35
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.867430889724436	35
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.569373195176418	35
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.493289557460333	35
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.837297888605281	35
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.258508309676839	35
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.719555013282246	35
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.882660191709418	35
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.833839359613162	35
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.898804405797383	35
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.789064330788381	35
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.443046316244113	36
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.764211669828171	36
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.600923930062196	36
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.799585432514453	36
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.820678133847495	36
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.600405890051339	36
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.436808939308546	36
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.81757889063113	36
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.247114476057464	36
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.78638994636618	36
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.824037367445893	36
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.765816114722255	36
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.975133650894543	36
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.751009717768066	36
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.301403856180482	37
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.691664888070626	37
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.687533233744579	37
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.759103952345397	37
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.842639627455637	37
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.590663274552701	37
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.205958119766988	37
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.815120737192336	37
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.208164637987092	37
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.845300373962099	37
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.783641137708124	37
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.814444268494266	37
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.913736126132791	37
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.760750151765401	37
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.421098341426975	38
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.761552958372607	38
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.847915861185283	38
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.754470278078025	38
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.80124112619237	38
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.555418506128716	38
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.205508876857663	38
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.795567019775505	38
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.283880897185052	38
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.851434248329606	38
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.886808372566016	38
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.818532389026474	38
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.94808021571397	38
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.779892701193241	38
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.220113327345635	39
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.691510382238215	39
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.702305724822514	39
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.642951449932931	39
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.913778507665918	39
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.589848386175974	39
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.499245023533679	39
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.827685712471061	39
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.288737155582682	39
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.816102498133389	39
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.86149783465705	39
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.838747243490728	39
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.938335455755158	39
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.73754505225892	39
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.268530060255146	40
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.749367042420862	40
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.767416988902943	40
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.702664126040914	40
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.879354883421193	40
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.676780595632011	40
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.54377175441282	40
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.816836209291719	40
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.280693644166444	40
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.85604265266456	40
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.936218669764385	40
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.863015171839485	40
